spkr	addr
Alcimede	Jason
Aphrodite	Eros
Chalciope	Argus (son of Phrixus)
Chalciope	sons of Phrixus
Chariclo	Tiresias
Leto	Apollo
Rhea	Gaia
Ceres	Proserpina
Cybele	Ceres
Venus	Cupid
Venus	Cupids
Aphrodite	Erotes
dream-Helena	Hermione
Maria	Jesus
Cledonia	Justa
Gaia	children of Gaia
Thetis	Achilles
Dione	Aphrodite
Hecuba	Hector
Hera	Hephaestus
Anticlea	Odysseus
Penelope	Telemachus
Metaneira	Demophon (son of Celeus)
Demeter	Persephone
Rhea	Demeter
Maia	Hermes
Cornelia Metella	Sextus Pompeius Magnus
Aphrodite-Peisinoe	Harmonia (wife of Cadmus)
Eeria	Tectaphus
Iris-Nyx	Hypnus
Gaea	Giants
mother deer	deer children
donkey	child of donkey
dolphin mother	child of dolphin
Clymene	Phaethon
Sol-Eurynome	Leucothoe
Latona	Apollo
Latona	Diana
Procne	Itys
Hecuba	Polyxena
Eos	Memnon
Deidamia	Neoptolemus
Hecuba	Paris
mother of Lycormas	Lycormas
Marcia (wife of Regulus)	son
Venus	3 Cupids
Pomponia	Scipio Africanus
mother of Masinissa	Masinissa
Atalanta	Parthenopaeus
Eurydice (Opheltes' mother)	Opheltes
Jocasta	Polynices
Ismenis	Crenaeus
Eurydice (Menoeceus' mother)	Menoeceus
Jocasta	Eteocles
Alcmene	Heracles
Alcmene	Iphicles
Venus-huntress	Aeneas
Venus	Amor
Venus	Aeneas
Cybele	Jupiter
mother of Euryalus (son of Opheltes)	Euryalus (son of Opheltes)
